manuscript,authors,affiliation,year,journal
Skin transport of PEGylated poly(ε-caprolactone) nanoparticles assisted by (2-hydroxypropyl)-β-cyclodextrin,Pannico M.,National Research Council of Italy,2015,Journal of Colloid and Interface Science
Skin transport of PEGylated poly(ε-caprolactone) nanoparticles assisted by (2-hydroxypropyl)-β-cyclodextrin,Musto P.,National Research Council of Italy,2015,Journal of Colloid and Interface Science
Skin transport of PEGylated poly(ε-caprolactone) nanoparticles assisted by (2-hydroxypropyl)-β-cyclodextrin,Grassia G.,University of Naples Federico II,2015,Journal of Colloid and Interface Science
Skin transport of PEGylated poly(ε-caprolactone) nanoparticles assisted by (2-hydroxypropyl)-β-cyclodextrin,Ialenti A.,University of Naples Federico II,2015,Journal of Colloid and Interface Science
Skin transport of PEGylated poly(ε-caprolactone) nanoparticles assisted by (2-hydroxypropyl)-β-cyclodextrin,Tirino P.,University of Naples Federico II,2015,Journal of Colloid and Interface Science
Skin transport of PEGylated poly(ε-caprolactone) nanoparticles assisted by (2-hydroxypropyl)-β-cyclodextrin,Miro A.,University of Naples Federico II,2015,Journal of Colloid and Interface Science
Skin transport of PEGylated poly(ε-caprolactone) nanoparticles assisted by (2-hydroxypropyl)-β-cyclodextrin,Ungaro F.,University of Naples Federico II,2015,Journal of Colloid and Interface Science
Skin transport of PEGylated poly(ε-caprolactone) nanoparticles assisted by (2-hydroxypropyl)-β-cyclodextrin,Quaglia F.,University of Naples Federico II,2015,Journal of Colloid and Interface Science
Large Porous Particles for Sustained Release of a Decoy Oligonucelotide and Poly(ethylenimine): Potential for Combined Therapy of Chronic Pseudomonas aeruginosa Lung Infections,d'Angelo I.,University of Campania Luigi Vanvitelli,2016,Biomacromolecules
Large Porous Particles for Sustained Release of a Decoy Oligonucelotide and Poly(ethylenimine): Potential for Combined Therapy of Chronic Pseudomonas aeruginosa Lung Infections,Perfetto B.,University of Campania Luigi Vanvitelli,2016,Biomacromolecules
Large Porous Particles for Sustained Release of a Decoy Oligonucelotide and Poly(ethylenimine): Potential for Combined Therapy of Chronic Pseudomonas aeruginosa Lung Infections,Costabile G.,Gabri,2016,Biomacromolecules
Large Porous Particles for Sustained Release of a Decoy Oligonucelotide and Poly(ethylenimine): Potential for Combined Therapy of Chronic Pseudomonas aeruginosa Lung Infections,Ambrosini V.,University of Campania Luigi Vanvitelli,2016,Biomacromolecules
Large Porous Particles for Sustained Release of a Decoy Oligonucelotide and Poly(ethylenimine): Potential for Combined Therapy of Chronic Pseudomonas aeruginosa Lung Infections,Caputo P.,University of Campania Luigi Vanvitelli,2016,Biomacromolecules
Large Porous Particles for Sustained Release of a Decoy Oligonucelotide and Poly(ethylenimine): Potential for Combined Therapy of Chronic Pseudomonas aeruginosa Lung Infections,Miro A.,University of Naples Federico II,2016,Biomacromolecules
Large Porous Particles for Sustained Release of a Decoy Oligonucelotide and Poly(ethylenimine): Potential for Combined Therapy of Chronic Pseudomonas aeruginosa Lung Infections,d'Emmanuele di Villa Bianca R.,University of Naples Federico II,2016,Biomacromolecules
Large Porous Particles for Sustained Release of a Decoy Oligonucelotide and Poly(ethylenimine): Potential for Combined Therapy of Chronic Pseudomonas aeruginosa Lung Infections,Sorrentino R.,University of Naples Federico II,2016,Biomacromolecules
Large Porous Particles for Sustained Release of a Decoy Oligonucelotide and Poly(ethylenimine): Potential for Combined Therapy of Chronic Pseudomonas aeruginosa Lung Infections,Donnarumma G.,University of Campania Luigi Vanvitelli,2016,Biomacromolecules
Large Porous Particles for Sustained Release of a Decoy Oligonucelotide and Poly(ethylenimine): Potential for Combined Therapy of Chronic Pseudomonas aeruginosa Lung Infections,Quaglia F.,University of Naples Federico II,2016,Biomacromolecules
Large Porous Particles for Sustained Release of a Decoy Oligonucelotide and Poly(ethylenimine): Potential for Combined Therapy of Chronic Pseudomonas aeruginosa Lung Infections,Ungaro F.,University of Naples Federico II,2016,Biomacromolecules
Development of inhalable hyaluronan/mannitol composite dry powders for flucytosine repositioning in local therapy of lung infections,Costabile G.,Gabri,2016,Journal of Controlled Release
Development of inhalable hyaluronan/mannitol composite dry powders for flucytosine repositioning in local therapy of lung infections,d'Angelo I.,University of Campania Luigi Vanvitelli,2016,Journal of Controlled Release
Development of inhalable hyaluronan/mannitol composite dry powders for flucytosine repositioning in local therapy of lung infections,d'Emmanuele di Villa Bianca R.,University of Naples Federico II,2016,Journal of Controlled Release
Development of inhalable hyaluronan/mannitol composite dry powders for flucytosine repositioning in local therapy of lung infections,Mitidieri E.,University of Naples Federico II,2016,Journal of Controlled Release
Development of inhalable hyaluronan/mannitol composite dry powders for flucytosine repositioning in local therapy of lung infections,Pompili B.,Sapienza University of Rome,2016,Journal of Controlled Release
Development of inhalable hyaluronan/mannitol composite dry powders for flucytosine repositioning in local therapy of lung infections,Del Porto P.,Sapienza University of Rome,2016,Journal of Controlled Release
Development of inhalable hyaluronan/mannitol composite dry powders for flucytosine repositioning in local therapy of lung infections,Leoni L.,University Roma Tre,2016,Journal of Controlled Release
Development of inhalable hyaluronan/mannitol composite dry powders for flucytosine repositioning in local therapy of lung infections,Visca P.,University Roma Tre,2016,Journal of Controlled Release
Development of inhalable hyaluronan/mannitol composite dry powders for flucytosine repositioning in local therapy of lung infections,Miro A.,University of Naples Federico II,2016,Journal of Controlled Release
Development of inhalable hyaluronan/mannitol composite dry powders for flucytosine repositioning in local therapy of lung infections,Quaglia F.,University of Naples Federico II,2016,Journal of Controlled Release
Development of inhalable hyaluronan/mannitol composite dry powders for flucytosine repositioning in local therapy of lung infections,Imperi F.,University Roma Tre,2016,Journal of Controlled Release
Development of inhalable hyaluronan/mannitol composite dry powders for flucytosine repositioning in local therapy of lung infections,Sorrentino R.,University Roma Tre,2016,Journal of Controlled Release
Development of inhalable hyaluronan/mannitol composite dry powders for flucytosine repositioning in local therapy of lung infections,Ungaro F.,University of Naples Federico II,2016,Journal of Controlled Release
Hybrid lipid/polymer nanoparticles for pulmonary delivery of siRNA: Development and fate upon in vitro deposition on the human epithelial airway barrier,d'Angelo I.,University of Campania Luigi Vanvitelli,2018,Journal of Aerosol Medicine and Pulmonary Drug Delivery
Hybrid lipid/polymer nanoparticles for pulmonary delivery of siRNA: Development and fate upon in vitro deposition on the human epithelial airway barrier,Costabile G.,Gabri,2018,Journal of Aerosol Medicine and Pulmonary Drug Delivery
Hybrid lipid/polymer nanoparticles for pulmonary delivery of siRNA: Development and fate upon in vitro deposition on the human epithelial airway barrier,Durantie E.,Adolphe Merkle Institute,2018,Journal of Aerosol Medicine and Pulmonary Drug Delivery
Hybrid lipid/polymer nanoparticles for pulmonary delivery of siRNA: Development and fate upon in vitro deposition on the human epithelial airway barrier,Brocca P.,University of Milano,2018,Journal of Aerosol Medicine and Pulmonary Drug Delivery
Hybrid lipid/polymer nanoparticles for pulmonary delivery of siRNA: Development and fate upon in vitro deposition on the human epithelial airway barrier,Rondelli V.,University of Milano,2018,Journal of Aerosol Medicine and Pulmonary Drug Delivery
Hybrid lipid/polymer nanoparticles for pulmonary delivery of siRNA: Development and fate upon in vitro deposition on the human epithelial airway barrier,Russo A.,University of Naples Federico II,2018,Journal of Aerosol Medicine and Pulmonary Drug Delivery
Hybrid lipid/polymer nanoparticles for pulmonary delivery of siRNA: Development and fate upon in vitro deposition on the human epithelial airway barrier,Russo G.,University of Naples Federico II,2018,Journal of Aerosol Medicine and Pulmonary Drug Delivery
Hybrid lipid/polymer nanoparticles for pulmonary delivery of siRNA: Development and fate upon in vitro deposition on the human epithelial airway barrier,Miro A.,University of Naples Federico II,2018,Journal of Aerosol Medicine and Pulmonary Drug Delivery
Hybrid lipid/polymer nanoparticles for pulmonary delivery of siRNA: Development and fate upon in vitro deposition on the human epithelial airway barrier,Quaglia F.,University of Naples Federico II,2018,Journal of Aerosol Medicine and Pulmonary Drug Delivery
Hybrid lipid/polymer nanoparticles for pulmonary delivery of siRNA: Development and fate upon in vitro deposition on the human epithelial airway barrier,Petri-Fink A.,Adolphe Merkle Institute,2018,Journal of Aerosol Medicine and Pulmonary Drug Delivery
Hybrid lipid/polymer nanoparticles for pulmonary delivery of siRNA: Development and fate upon in vitro deposition on the human epithelial airway barrier,Rothen-Rutishauser B.,Adolphe Merkle Institute,2018,Journal of Aerosol Medicine and Pulmonary Drug Delivery
Hybrid lipid/polymer nanoparticles for pulmonary delivery of siRNA: Development and fate upon in vitro deposition on the human epithelial airway barrier,Ungaro F.,University of Naples Federico II,2018,Journal of Aerosol Medicine and Pulmonary Drug Delivery
Mannose and Mannose-6-Phosphate Receptor–Targeted Drug Delivery Systems and Their Application in Cancer Therapy,Dalle Vedove E.,Ludwig-Maximilians-Universität,2018,Advanced Healthcare Materials
Mannose and Mannose-6-Phosphate Receptor–Targeted Drug Delivery Systems and Their Application in Cancer Therapy,Costabile G.,Gabri,2018,Advanced Healthcare Materials
Mannose and Mannose-6-Phosphate Receptor–Targeted Drug Delivery Systems and Their Application in Cancer Therapy,Merkel O.M.,Ludwig-Maximilians-Universität,2018,Advanced Healthcare Materials
Physicochemical and In Vitro Evaluation of Drug Delivery of an Antibacterial Synthetic Benzophenone in Biodegradable PLGA Nanoparticles,Costabile G.,Gabri,2018,AAPS PharmSciTech
Physicochemical and In Vitro Evaluation of Drug Delivery of an Antibacterial Synthetic Benzophenone in Biodegradable PLGA Nanoparticles,Gasteyer K.I.,Wayne State University,2018,AAPS PharmSciTech
Physicochemical and In Vitro Evaluation of Drug Delivery of an Antibacterial Synthetic Benzophenone in Biodegradable PLGA Nanoparticles,Nadithe V.,Wayne State University,2018,AAPS PharmSciTech
Physicochemical and In Vitro Evaluation of Drug Delivery of an Antibacterial Synthetic Benzophenone in Biodegradable PLGA Nanoparticles,Van Denburgh K.,Wayne State University,2018,AAPS PharmSciTech
Physicochemical and In Vitro Evaluation of Drug Delivery of an Antibacterial Synthetic Benzophenone in Biodegradable PLGA Nanoparticles,Lin Q.,Wayne State University,2018,AAPS PharmSciTech
Physicochemical and In Vitro Evaluation of Drug Delivery of an Antibacterial Synthetic Benzophenone in Biodegradable PLGA Nanoparticles,Sharma S.,Wayne State University,2018,AAPS PharmSciTech
Physicochemical and In Vitro Evaluation of Drug Delivery of an Antibacterial Synthetic Benzophenone in Biodegradable PLGA Nanoparticles,Reineke J.J.,South Dakota State University,2018,AAPS PharmSciTech
Physicochemical and In Vitro Evaluation of Drug Delivery of an Antibacterial Synthetic Benzophenone in Biodegradable PLGA Nanoparticles,Firestine S.M.,Wayne State University,2018,AAPS PharmSciTech
Physicochemical and In Vitro Evaluation of Drug Delivery of an Antibacterial Synthetic Benzophenone in Biodegradable PLGA Nanoparticles,Merkel O.M.,Ludwig-Maximilians-Universität,2018,AAPS PharmSciTech
"Evaluation of β-sitosterol loaded PLGA and PEG-PLA nanoparticles for effective treatment of breast cancer: Preparation, physicochemical characterization, and antitumor activity",Andima M.,University of Nairobi,2018,Pharmaceutics
"Evaluation of β-sitosterol loaded PLGA and PEG-PLA nanoparticles for effective treatment of breast cancer: Preparation, physicochemical characterization, and antitumor activity",Costabile G.,Gabri,2018,Pharmaceutics
"Evaluation of β-sitosterol loaded PLGA and PEG-PLA nanoparticles for effective treatment of breast cancer: Preparation, physicochemical characterization, and antitumor activity",Isert L.,Ludwig-Maximilians-Universität,2018,Pharmaceutics
"Evaluation of β-sitosterol loaded PLGA and PEG-PLA nanoparticles for effective treatment of breast cancer: Preparation, physicochemical characterization, and antitumor activity",Ndakala A.J.,University of Nairobi,2018,Pharmaceutics
"Evaluation of β-sitosterol loaded PLGA and PEG-PLA nanoparticles for effective treatment of breast cancer: Preparation, physicochemical characterization, and antitumor activity",Derese S.,University of Nairobi,2018,Pharmaceutics
"Evaluation of β-sitosterol loaded PLGA and PEG-PLA nanoparticles for effective treatment of breast cancer: Preparation, physicochemical characterization, and antitumor activity",Merkel O.M.,Ludwig-Maximilians-Universität,2018,Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Siepmann J.,University of Lille,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Faham A.,DuPont Health & Nutrition,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Clas S.-D.,PharmaSolv Consulting,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Boyd B.J.,Monash University,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Jannin V.,Gattefossé SAS,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Bernkop-Schnurch A.,University of Innsbruck,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Zhao H.,Université de Bordeaux,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Lecommandoux S.,Université de Bordeaux,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Evans J.C.,University of Toronto,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Allen C.,University of Toronto,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Merkel O.M.,Ludwig-Maximilians-Universität,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Costabile G.,Gabri,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Alexander M.R.,University of Nottingham,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Wildman R.D.,University of Nottingham,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Roberts C.J.,University of Nottingham,2019,International Journal of Pharmaceutics
Lipids and polymers in pharmaceutical technology: Lifelong companions,Leroux J.-C.,ETH Zürich,2019,International Journal of Pharmaceutics
The impact of nylon-3 copolymer composition on the efficiency of sirna delivery to glioblastoma cells,Hartl N.,Ludwig-Maximilians-Universität,2019,Nanomaterials
The impact of nylon-3 copolymer composition on the efficiency of sirna delivery to glioblastoma cells,Adams F.,Ludwig-Maximilians-Universität,2019,Nanomaterials
The impact of nylon-3 copolymer composition on the efficiency of sirna delivery to glioblastoma cells,Costabile G.,Gabri,2019,Nanomaterials
The impact of nylon-3 copolymer composition on the efficiency of sirna delivery to glioblastoma cells,Isert L.,Ludwig-Maximilians-Universität,2019,Nanomaterials
The impact of nylon-3 copolymer composition on the efficiency of sirna delivery to glioblastoma cells,Doblinger M.,Ludwig-Maximilians-Universität,2019,Nanomaterials
The impact of nylon-3 copolymer composition on the efficiency of sirna delivery to glioblastoma cells,Xiao X.,Research Center for Biomedical Materials of Ministry of Education,2019,Nanomaterials
The impact of nylon-3 copolymer composition on the efficiency of sirna delivery to glioblastoma cells,Liu R.,Research Center for Biomedical Materials of Ministry of Education,2019,Nanomaterials
The impact of nylon-3 copolymer composition on the efficiency of sirna delivery to glioblastoma cells,Merkel O.M.,Ludwig-Maximilians-Universität,2019,Nanomaterials
Characterization of spray dried powders with nucleic acid-containing PEI nanoparticles,Keil T.W.M.,Ludwig-Maximilians-Universität,2019,European Journal of Pharmaceutics and Biopharmaceutics
Characterization of spray dried powders with nucleic acid-containing PEI nanoparticles,Feldmann D.P.,Wayne State University,2019,European Journal of Pharmaceutics and Biopharmaceutics
Characterization of spray dried powders with nucleic acid-containing PEI nanoparticles,Costabile G.,Gabri,2019,European Journal of Pharmaceutics and Biopharmaceutics
Characterization of spray dried powders with nucleic acid-containing PEI nanoparticles,Zhong Q.,Virginia Commonwealth University,2019,European Journal of Pharmaceutics and Biopharmaceutics
Characterization of spray dried powders with nucleic acid-containing PEI nanoparticles,da Rocha S.,Virginia Commonwealth University,2019,European Journal of Pharmaceutics and Biopharmaceutics
Characterization of spray dried powders with nucleic acid-containing PEI nanoparticles,Merkel O.M.,Ludwig-Maximilians-Universität,2019,European Journal of Pharmaceutics and Biopharmaceutics
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Costabile G.,Gabri,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Provenzano R.,University of Naples Federico II,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Azzalin A.,University of Pavia,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Scoffone V.C.,University of Pavia,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Chiarelli L.R.,University of Pavia,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Rondelli V.,University of Milano,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Grillo I.,Institut Laue-Langevin,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Zinn T.,ESRF-The European Synchrotron,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Lepioshkin A.,Russian Academy of Sciences,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Savina S.,Russian Academy of Sciences,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Miro A.,University of Naples Federico II,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Quaglia F.,University of Naples Federico II,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Makarov V.,Russian Academy of Sciences,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Coenye T.,Ghent University,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Brocca P.,University of Milano,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Riccardi G.,University of Pavia,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Buroni S.,University of Pavia,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,Ungaro F.,University of Naples Federico II,2020,"Nanomedicine: Nanotechnology, Biology, and Medicine"
Cytosolic delivery of nucleic acids: The case of ionizable lipid nanoparticles,Schlich M.,University of Cagliari,2021,Bioengineering and Translational Medicine
Cytosolic delivery of nucleic acids: The case of ionizable lipid nanoparticles,Palomba R.,Istituto Italiano di Tecnologia,2021,Bioengineering and Translational Medicine
Cytosolic delivery of nucleic acids: The case of ionizable lipid nanoparticles,Costabile G.,Gabri,2021,Bioengineering and Translational Medicine
Cytosolic delivery of nucleic acids: The case of ionizable lipid nanoparticles,Mizrahy S.,Tel Aviv University,2021,Bioengineering and Translational Medicine
Cytosolic delivery of nucleic acids: The case of ionizable lipid nanoparticles,Pannuzzo M.,Istituto Italiano di Tecnologia,2021,Bioengineering and Translational Medicine
Cytosolic delivery of nucleic acids: The case of ionizable lipid nanoparticles,Peer D.,Tel Aviv University,2021,Bioengineering and Translational Medicine
Cytosolic delivery of nucleic acids: The case of ionizable lipid nanoparticles,Decuzzi P.,Istituto Italiano di Tecnologia,2021,Bioengineering and Translational Medicine
Intra-tracheal administration increases gallium availability in lung: implications for antibacterial chemotherapy,Mitidieri E.,University of Naples Federico II,2021,Pharmacological Research
Intra-tracheal administration increases gallium availability in lung: implications for antibacterial chemotherapy,Visaggio D.,University Roma Tre,2021,Pharmacological Research
Intra-tracheal administration increases gallium availability in lung: implications for antibacterial chemotherapy,Frangipani E.,University of Urbino Carlo Bo,2021,Pharmacological Research
Intra-tracheal administration increases gallium availability in lung: implications for antibacterial chemotherapy,Turnaturi C.,University of Naples Federico II,2021,Pharmacological Research
Intra-tracheal administration increases gallium availability in lung: implications for antibacterial chemotherapy,Vanacore D.,University of Naples Federico II,2021,Pharmacological Research
Intra-tracheal administration increases gallium availability in lung: implications for antibacterial chemotherapy,Provenzano R.,University of Naples Federico II,2021,Pharmacological Research
Intra-tracheal administration increases gallium availability in lung: implications for antibacterial chemotherapy,Costabile G.,Gabri,2021,Pharmacological Research
Intra-tracheal administration increases gallium availability in lung: implications for antibacterial chemotherapy,Sorrentino R.,University of Naples Federico II,2021,Pharmacological Research
Intra-tracheal administration increases gallium availability in lung: implications for antibacterial chemotherapy,Ungaro F.,University of Naples Federico II,2021,Pharmacological Research
Intra-tracheal administration increases gallium availability in lung: implications for antibacterial chemotherapy,Visca P.,University Roma Tre,2021,Pharmacological Research
Intra-tracheal administration increases gallium availability in lung: implications for antibacterial chemotherapy,d'Emmanuele di Villa Bianca R.,University of Naples Federico II,2021,Pharmacological Research
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,Conte G.,University of Campania Luigi Vanvitelli,2022,ACS Applied Materials and Interfaces
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,Costabile G.,Gabri,2022,ACS Applied Materials and Interfaces
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,Baldassi D.,Ludwig-Maximilians-Universität,2022,ACS Applied Materials and Interfaces
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,Rondelli V.,University of Milano,2022,ACS Applied Materials and Interfaces
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,Bassi R.,University of Milano,2022,ACS Applied Materials and Interfaces
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,Colombo D.,University of Milano,2022,ACS Applied Materials and Interfaces
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,Linardos G.,Children's Hospital Bambino Gesù,2022,ACS Applied Materials and Interfaces
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,Fiscarelli E.V.,Children's Hospital Bambino Gesù,2022,ACS Applied Materials and Interfaces
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,Sorrentino R.,University of Naples Federico II,2022,ACS Applied Materials and Interfaces
Hybrid Lipid/Polymer Nanoparticles to Tackle the Cystic Fibrosis Mucus Barrier in siRNA Delivery to the Lungs: Does PEGylation Make the Difference?,Miro A.,University of Naples Federico II,2022,ACS Applied Materials and Interfaces
